question,lecture_key,asr_segment_ids,ocr_slide_indices
What is active membrane transport?,anat-1/AnatomyPhysiology/01,"[2]","[1]"
What is vesicular transport?,anat-1/AnatomyPhysiology/01,"[2, 10, 11, 12]","[1, 11, 12, 13, 15, 17, 19]"
What is endocytosis?,anat-1/AnatomyPhysiology/01,"[11, 14, 17, 19]","[12, 13, 14, 15, 16, 17, 18, 19]"
Where does the voltage occur across a plasma membrane?,anat-1/AnatomyPhysiology/01,"[23]","[23]"
What is K+ or potassium for resting membrane potential?,anat-1/AnatomyPhysiology/01,"[22, 23, 24]","[25, 26]"
What are the two types of active transport and how do they obtain energy?,anat-1/AnatomyPhysiology/01,"[3]","[3]"
What does the sodium-potassium pump do and how does it act as an antiporter?,anat-1/AnatomyPhysiology/01,"[4, 5]","[5, 6]"
How does exocytosis eject material from the cell and what roles do v-SNARE and t-SNARE proteins play?,anat-1/AnatomyPhysiology/01,"[21]","[20, 21]"
What is cell drinking called?,anat-1/AnatomyPhysiology/01,"[17, 11]","[17, 18]"
How is primary active transport different from secondary active transport?,anat-1/AnatomyPhysiology/01,"[3,9,8,10]","[3,8,9,10]"
