lecture_key,speaker,course_dir,meeting_id,n_slides,n_treeseg_segments,diff,abs_diff,ratio,max_gap_s_used,invalid_segments_lines
anat-1/AnatomyPhysiology/20,anat-1,AnatomyPhysiology,20,22,42,20,20,1.9090909090909092,0.5,0
anat-1/AnatomyPhysiology/01,anat-1,AnatomyPhysiology,01,28,21,-7,7,0.75,1.0,0
anat-1/AnatomyPhysiology/02,anat-1,AnatomyPhysiology,02,33,31,-2,2,0.9393939393939394,0.9,0
anat-1/AnatomyPhysiology/13,anat-1,AnatomyPhysiology,13,38,19,-19,19,0.5,0.582,0
anat-1/AnatomyPhysiology/23,anat-1,AnatomyPhysiology,23,48,39,-9,9,0.8125,1.0,0
anat-1/AnatomyPhysiology/05,anat-1,AnatomyPhysiology,05,52,29,-23,23,0.5576923076923077,0.9,0
anat-1/AnatomyPhysiology/14,anat-1,AnatomyPhysiology,14,52,33,-19,19,0.6346153846153846,0.7,0
anat-1/AnatomyPhysiology/24,anat-1,AnatomyPhysiology,24,53,59,6,6,1.1132075471698113,0.4,0
anat-1/AnatomyPhysiology/18,anat-1,AnatomyPhysiology,18,55,32,-23,23,0.5818181818181818,0.4,0
anat-1/AnatomyPhysiology/29,anat-1,AnatomyPhysiology,29,55,32,-23,23,0.5818181818181818,0.9,0
anat-1/AnatomyPhysiology/10,anat-1,AnatomyPhysiology,10,56,33,-23,23,0.5892857142857143,0.6,0
anat-1/AnatomyPhysiology/08,anat-1,AnatomyPhysiology,08,65,48,-17,17,0.7384615384615385,0.9,0
anat-1/AnatomyPhysiology/21,anat-1,AnatomyPhysiology,21,66,53,-13,13,0.803030303030303,0.4,0
anat-1/AnatomyPhysiology/22,anat-1,AnatomyPhysiology,22,70,40,-30,30,0.5714285714285714,0.54,0
anat-1/AnatomyPhysiology/28,anat-1,AnatomyPhysiology,28,72,40,-32,32,0.5555555555555556,0.8,0
anat-1/AnatomyPhysiology/09,anat-1,AnatomyPhysiology,09,73,50,-23,23,0.684931506849315,0.8,0
anat-1/AnatomyPhysiology/07,anat-1,AnatomyPhysiology,07,76,52,-24,24,0.6842105263157895,0.9,0
anat-1/AnatomyPhysiology/26,anat-1,AnatomyPhysiology,26,78,71,-7,7,0.9102564102564102,0.4,0
anat-1/AnatomyPhysiology/25,anat-1,AnatomyPhysiology,25,80,68,-12,12,0.85,0.4,0
anat-1/AnatomyPhysiology/03,anat-1,AnatomyPhysiology,03,81,51,-30,30,0.6296296296296297,0.7,0
