lecture_key,speaker,course_dir,meeting_id,n_slides,n_treeseg_segments,diff,abs_diff,ratio,max_gap_s_used,invalid_segments_lines
ml-1/MultimodalMachineLearning/16,ml-1,MultimodalMachineLearning,16,41,59,18,18,1.4390243902439024,0.8,0
ml-1/MultimodalMachineLearning/03,ml-1,MultimodalMachineLearning,03,42,43,1,1,1.0238095238095237,0.8,0
ml-1/MultimodalMachineLearning/11,ml-1,MultimodalMachineLearning,11,51,41,-10,10,0.803921568627451,0.8,0
ml-1/MultimodalMachineLearning/17,ml-1,MultimodalMachineLearning,17,52,42,-10,10,0.8076923076923077,0.8,0
ml-1/MultimodalMachineLearning/01,ml-1,MultimodalMachineLearning,01,53,51,-2,2,0.9622641509433962,0.6,0
ml-1/MultimodalMachineLearning/04,ml-1,MultimodalMachineLearning,04,55,31,-24,24,0.5636363636363636,0.8,0
ml-1/MultimodalMachineLearning/09,ml-1,MultimodalMachineLearning,09,59,39,-20,20,0.6610169491525424,0.8,0
ml-1/MultimodalMachineLearning/12,ml-1,MultimodalMachineLearning,12,59,43,-16,16,0.7288135593220338,0.8,0
ml-1/MultimodalMachineLearning/10,ml-1,MultimodalMachineLearning,10,62,37,-25,25,0.5967741935483871,0.9,0
ml-1/MultimodalMachineLearning/13,ml-1,MultimodalMachineLearning,13,62,50,-12,12,0.8064516129032258,0.7,0
ml-1/MultimodalMachineLearning/08,ml-1,MultimodalMachineLearning,08,65,39,-26,26,0.6,0.8,0
ml-1/MultimodalMachineLearning/15,ml-1,MultimodalMachineLearning,15,67,59,-8,8,0.8805970149253731,0.8,0
ml-1/MultimodalMachineLearning/07,ml-1,MultimodalMachineLearning,07,69,38,-31,31,0.5507246376811594,0.8,0
ml-1/MultimodalMachineLearning/02,ml-1,MultimodalMachineLearning,02,81,56,-25,25,0.691358024691358,0.8,0
ml-1/MultimodalMachineLearning/06,ml-1,MultimodalMachineLearning,06,82,49,-33,33,0.5975609756097561,0.8,0
